Wavelength Flux
5404.5576171875 50606.91572570801
5405.8076171875 50805.61965942383
5407.0576171875 50347.008880615234
5408.3076171875 49223.474380493164
5409.5576171875 48488.6932220459
5410.8076171875 49168.04219055176
5412.0576171875 50982.999603271484
5413.3076171875 52500.61082458496
5414.5576171875 53204.54554748535
5415.8076171875 52795.99760437012
5417.0576171875 53047.84652709961
5418.3076171875 52173.928634643555
5419.5576171875 52317.33401489258
5420.8076171875 51720.64529418945
5422.0576171875 51729.941345214844
5423.3076171875 52523.70243835449
5424.5576171875 53572.53956604004
5425.8076171875 53060.78450012207
5427.0576171875 52651.54502868652
5428.3076171875 51833.802658081055
5429.5576171875 50957.70541381836
5430.8076171875 50693.053146362305
5432.0576171875 51245.517807006836
5433.3076171875 50565.72537231445
5434.5576171875 49930.1612701416
5435.8076171875 49504.29502868652
5437.0576171875 49328.604232788086
5438.3076171875 50580.703063964844
5439.5576171875 50992.8856048584
5440.8076171875 51022.84420776367
5442.0576171875 50224.327239990234
5443.3076171875 48720.71041870117
5444.5576171875 47621.713150024414
5445.8076171875 48865.553161621094
5447.0576171875 49531.28337097168
5448.3076171875 49782.682556152344
5449.5576171875 50107.02885437012
5450.8076171875 51519.419174194336
5452.0576171875 52438.0007019043
5453.3076171875 52724.65614318848
5454.5576171875 52674.669357299805
5455.8076171875 53725.35704040527
5457.0576171875 53833.8690032959
5458.3076171875 53257.383056640625
5459.5576171875 52804.485931396484
5460.8076171875 52933.2783203125
5462.0576171875 52828.52029418945
5463.3076171875 52123.997329711914
5464.5576171875 52390.77406311035
5465.8076171875 53547.328063964844
5467.0576171875 53379.734375
5468.3076171875 51912.29229736328
5469.5576171875 51302.01290893555
5470.8076171875 51810.37683105469
5472.0576171875 51445.910064697266
5473.3076171875 50524.96733093262
5474.5576171875 50955.72480773926
5475.8076171875 51867.45114135742
5477.0576171875 53263.9001159668
5478.3076171875 54712.27900695801
5479.5576171875 55789.106048583984
5480.8076171875 55395.6823425293
5482.0576171875 54792.339447021484
5483.3076171875 54229.87985229492
5484.5576171875 52453.580017089844
5485.8076171875 50393.95505523682
5487.0576171875 50956.860916137695
5488.3076171875 51922.67150878906
5489.5576171875 53602.75477600098
5490.8076171875 53995.27395629883
5492.0576171875 53400.98420715332
5493.3076171875 52092.424377441406
5494.5576171875 51344.00451660156
5495.8076171875 51384.0174407959
5497.0576171875 53133.10417175293
5498.3076171875 54518.614181518555
5499.5576171875 54361.736389160156
5500.8076171875 53519.26823425293
5502.0576171875 52526.24336242676
5503.3076171875 52803.00434875488
