Title: Infrared Luminosities and Aromatic Features in the 24 micron 
       Flux Limited Sample of 5MUSES  
Authors: Wu Y., Helou G., Armus L., Cormier D., Shi Y., Dale D., Dasyra K., 
         Smith J.D., Papovich C., Draine B., Rahman N., Stierwalt S., Fadda D.,
         Lagache G., Wright E.L. 
Table: General Properties of the Sample
================================================================================
Byte-by-byte Description of file: apj368264t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units      Label   Explanations
--------------------------------------------------------------------------------
   1- 10 A10    ---        ID      Source 5MUSES identification 
  12- 37 A26    ---        Name    Source 5MUSES name
  39- 40 I2     h          RAh     Hour of Right Ascension (J2000) 
  42- 43 I2     min        RAm     Minute of Right Ascension (J2000) 
  45- 48 F4.1   s          RAs     Second of Right Ascension (J2000) 
      50 A1     ---        DE-     Sign of the Declination (J2000)
  51- 52 I2     deg        DEd     Degree of Declination (J2000) 
  54- 55 I2     arcmin     DEm     Arcminute of Declination (J2000) 
  57- 60 F4.1   arcsec     DEs     Arcsecond of Declination (J2000) 
  62- 66 F5.3   ---        z       Redshift 
      68 I1     ---      f_z       Flag on z (1)  
  70- 73 F4.1   mJy        F24     Spitzer/MIPS 24 micron flux density  
      75 A1     ---      l_EW6.2   Limit flag on EW6.2
  76- 81 F6.3   um         EW6.2   ? Equivalent width of 6.2 micron PAH band
  83- 87 F5.3   um       e_EW6.2   ? Uncertainty in 6.2{mu}m EW 
  89- 93 F5.2   [solLum]   logLIR  Log of IR luminosity
  95- 98 F4.2   [solLum] e_logLIR  Uncertainty in logLIR
5MUSES-085 5MUSES_J103606.45+581829.7 10 36 06.5 +58 18 29.7 0.210 1 22.5 < 0.068       11.41 0.02 
5MUSES-086 5MUSES_J103646.42+584330.6 10 36 46.4 +58 43 30.6 0.140 2  6.8   0.549 0.020 10.94 0.03 
5MUSES-087 5MUSES_J103701.99+574414.8 10 37 02.0 +57 44 14.8 0.577 2 12.8 < 0.065       12.06 0.05 
5MUSES-088 5MUSES_J103724.74+580512.9 10 37 24.7 +58 05 12.9 1.517 1  8.6 < 0.158       13.02 0.06 
5MUSES-089 5MUSES_J103803.35+572701.5 10 38 03.4 +57 27 01.5 1.285 2 15.4 < 0.086       13.33 0.06 
5MUSES-090 5MUSES_J103813.90+580047.3 10 38 13.9 +58 00 47.4 0.205 2  6.2 < 0.335       10.89 0.14 
5MUSES-091 5MUSES_J103818.19+583556.5 10 38 18.2 +58 35 56.5 0.129 2  7.8   0.312 0.018 10.50 0.03 
5MUSES-093 5MUSES_J103856.16+570333.9 10 38 56.2 +57 03 33.9 0.178 2  5.7   0.338 0.011 10.82 0.03 
5MUSES-097 5MUSES_J104016.32+570846.0 10 40 16.3 +57 08 46.1 0.118 2  5.2   0.661 0.003 10.87 0.02 
5MUSES-098 5MUSES_J104058.79+581703.3 10 40 58.8 +58 17 03.4 0.072 1 10.4 < 0.119        9.96 0.06 
5MUSES-099 5MUSES_J104131.79+592258.4 10 41 31.8 +59 22 58.4 0.925 1  7.0 < 0.061       12.16 0.09 
5MUSES-100 5MUSES_J104132.49+565953.0 10 41 32.5 +56 59 53.0 0.346 1  8.3   0.454 0.044 11.74 0.04 
5MUSES-101 5MUSES_J104159.83+585856.4 10 41 59.8 +58 58 56.4 0.360 2 21.7 < 0.127       11.95 0.02 
5MUSES-102 5MUSES_J104255.66+575549.7 10 42 55.7 +57 55 49.8 1.468 1  6.4 < 0.067       13.01 0.05 
5MUSES-103 5MUSES_J104303.50+585718.1 10 43 03.5 +58 57 18.1 0.595 1  5.4 < 0.066       11.90 0.05 
5MUSES-105 5MUSES_J104432.94+564041.6 10 44 32.9 +56 40 41.6 0.067 1 28.7   0.637 0.117 10.92 0.03 
5MUSES-106 5MUSES_J104438.21+562210.7 10 44 38.2 +56 22 10.8 0.025 1 80.6   0.509 0.027 10.49 0.05 
5MUSES-107 5MUSES_J104454.08+574425.7 10 44 54.1 +57 44 25.8 0.118 1  6.5   0.585 0.096 10.99 0.02 
5MUSES-108 5MUSES_J104501.73+571111.3 10 45 01.7 +57 11 11.4 0.390 1 10.9 < 0.164       11.60 0.05 
5MUSES-109 5MUSES_J104516.02+592304.7 10 45 16.0 +59 23 04.7 0.322 1  5.1   0.094 0.005 11.39 0.07 
5MUSES-110 5MUSES_J104643.26+584715.1 10 46 43.3 +58 47 15.1 0.140 1  5.4   0.522 0.017 10.90 0.03 
5MUSES-112 5MUSES_J104705.07+590728.4 10 47 05.1 +59 07 28.5 0.391 1  7.0   0.032 0.003 11.39 0.10 
5MUSES-114 5MUSES_J104729.89+572842.9 10 47 29.9 +57 28 42.9 0.230 2  6.2   0.477 0.052 11.60 0.01 
5MUSES-115 5MUSES_J104837.81+582642.1 10 48 37.8 +58 26 42.2 0.232 1  7.6   0.729 0.022 11.68 0.02 
5MUSES-116 5MUSES_J104839.73+555356.4 10 48 39.7 +55 53 56.5 2.043 1  9.8               13.46 0.25 
